affinity	y
1	1
0.95	1
0.928888888888889	1
0.925555555555556	1
0.911111111111111	1
0.91	1
0.912222222222222	1
0.895555555555556	1
0.875555555555556	1
0.887777777777778	1
0.871111111111111	1
0.885555555555556	1
0.876666666666667	1
0.877777777777778	1
0.891111111111111	1
0.872222222222222	1
0.881111111111111	1
0.867777777777778	1
0.871111111111111	1
0.877777777777778	1
0.87	1
0.847777777777778	1
0.844444444444444	1
0.843333333333333	1
0.85	1
0.832222222222222	1
0.85	1
0.863333333333333	1
0.852222222222222	1
0.851111111111111	1
0.843333333333333	1
0.833333333333333	1
0.826666666666667	1
0.842222222222222	1
0.836666666666667	1
0.828888888888889	1
0.831111111111111	1
0.831111111111111	1
0.838888888888889	1
0.815555555555556	1
0.823333333333333	1
0.826666666666667	1
0.79	1
0.803333333333333	1
0.817777777777778	1
0.812222222222222	1
0.806666666666667	1
0.817777777777778	1
0.811111111111111	1
0.794444444444444	1
0.805555555555556	1
0.8	1
0.8	1
0.801111111111111	1
0.795555555555556	1
0.758888888888889	1
0.775555555555556	1
0.776666666666667	1
0.761111111111111	1
0.785555555555556	1
0.767777777777778	1
0.757777777777778	1
0.773333333333333	1
0.775555555555556	1
0.765555555555556	1
0.768888888888889	1
0.78	1
0.764444444444444	1
0.785555555555556	1
0.755555555555556	1
0.762222222222222	1
0.754444444444444	1
0.76	1
0.777777777777778	1
0.764444444444444	1
0.752222222222222	1
0.771111111111111	1
0.742222222222222	1
0.748888888888889	1
0.753333333333333	1
0.752222222222222	1
0.754444444444444	1
0.745555555555556	1
0.744444444444444	1
0.75	1
0.746666666666667	1
0.763333333333333	1
0.748888888888889	1
0.755555555555556	1
0.754444444444444	1
0.741111111111111	1
0.733333333333333	1
0.737777777777778	1
0.743333333333333	1
0.755555555555556	1
0.76	1
0.74	1
0.732222222222222	1
0.713333333333333	1
0.753333333333333	1
0.735555555555556	1
1	0
0.972647058823529	0
0.966470588235294	0
0.964411764705882	0
0.958235294117647	0
0.957058823529412	0
0.957352941176471	0
0.952941176470588	0
0.947058823529412	0
0.945588235294118	0
0.944705882352941	0
0.945882352941176	0
0.940588235294118	0
0.940588235294118	0
0.948529411764706	0
0.938529411764706	0
0.942352941176471	0
0.940882352941177	0
0.934411764705882	0
0.934705882352941	0
0.935882352941176	0
0.933235294117647	0
0.931176470588235	0
0.932941176470588	0
0.928235294117647	0
0.924117647058823	0
0.927352941176471	0
0.930294117647059	0
0.928823529411765	0
0.927058823529412	0
0.925294117647059	0
0.920882352941176	0
0.920882352941176	0
0.925882352941176	0
0.924411764705882	0
0.925294117647059	0
0.921470588235294	0
0.922058823529412	0
0.927352941176471	0
0.918529411764706	0
0.919411764705882	0
0.921176470588235	0
0.911470588235294	0
0.916470588235294	0
0.922647058823529	0
0.920588235294118	0
0.915882352941176	0
0.922647058823529	0
0.915588235294118	0
0.911470588235294	0
0.915	0
0.914411764705882	0
0.910588235294118	0
0.914117647058823	0
0.903529411764706	0
0.901470588235294	0
0.907647058823529	0
0.907941176470588	0
0.902058823529412	0
0.907941176470588	0
0.902352941176471	0
0.897352941176471	0
0.905588235294118	0
0.903529411764706	0
0.900882352941176	0
0.901470588235294	0
0.901176470588235	0
0.897941176470588	0
0.901470588235294	0
0.893529411764706	0
0.890294117647059	0
0.890882352941176	0
0.891470588235294	0
0.903235294117647	0
0.888823529411765	0
0.882352941176471	0
0.893529411764706	0
0.887647058823529	0
0.882352941176471	0
0.892058823529412	0
0.881764705882353	0
0.882352941176471	0
0.883235294117647	0
0.877647058823529	0
0.878235294117647	0
0.879117647058824	0
0.883823529411765	0
0.879411764705882	0
0.880882352941176	0
0.880294117647059	0
0.882941176470588	0
0.885294117647059	0
0.882352941176471	0
0.882941176470588	0
0.886764705882353	0
0.881176470588235	0
0.879705882352941	0
0.883529411764706	0
0.879411764705882	0
0.884705882352941	0
0.881470588235294	0
